place_external_id,category_slug,is_primary
afisha-msk-mitzva-bar-61187,bar,false
afisha-msk-touche-173760,bar,false
afisha-msk-zodiac-44602,restaurant,true
afisha-msk-kitaiskaia-gramota-45415,restaurant,true
afisha-msk-natakhtari-na-maroseike-47865,restaurant,true
afisha-msk-bo-174563,restaurant,true
afisha-msk-moscow-delhi-218632,restaurant,true
afisha-msk-rynok-i-obshchepit-270147,restaurant,true
afisha-msk-black-swan-pub-442960,bar,false
afisha-msk-burger-heroes-77344,quick_bite,true
afisha-msk-mr-livanets-75771,restaurant,true
afisha-msk-darbazi-42305,restaurant,true
afisha-msk-km20-385754,restaurant,true
afisha-msk-fruits-veges-44899,restaurant,true
afisha-msk-maestrello-353417,restaurant,false
afisha-msk-true-cost-nikuda-ne-edem-48805,restaurant,true
afisha-msk-cutfish-218554,restaurant,true
afisha-msk-rico-44190,restaurant,true
afisha-msk-tehnikum-259792,bar,true
afisha-msk-twins-garden-386019,restaurant,true
afisha-msk-oblomov-16671,restaurant,true
afisha-msk-ryba-moia-421793,restaurant,true
afisha-msk-semifreddo-16592,restaurant,true
afisha-msk-chaikovskii-32591,restaurant,true
afisha-msk-hong-kong-349230,restaurant,true
afisha-msk-molon-lave-48558,restaurant,true
afisha-msk-druzhba-23228,restaurant,true
afisha-msk-ierusalim-26774,restaurant,true
afisha-msk-moloko-35622,coffee,true
afisha-msk-turandot-20223,restaurant,true
afisha-msk-dizengof-99-409047,restaurant,true
afisha-msk-laffa-laffa-48564,restaurant,true
afisha-msk-ugolek-44508,bar,true
afisha-msk-chikho-349989,restaurant,true
afisha-msk-bambule-421874,bar,true
afisha-msk-mandys-apothecary-irish-pub-218824,bar,true
afisha-msk-pizza-22-cm-442043,quick_bite,true
afisha-msk-gayanes-34654,restaurant,true
afisha-msk-probka-na-tsvetnom-35781,restaurant,true
afisha-msk-ottepel-218807,restaurant,true
afisha-msk-farsh-61072,restaurant,true
afisha-msk-katie-osheas-28973,bar,true
afisha-msk-meat-me-174609,restaurant,true
afisha-msk-sean-oneill-312225,bar,false
afisha-msk-steak-it-easy-350330,restaurant,true
afisha-msk-tap-barrel-pub-48411,restaurant,false
afisha-msk-the-tipsy-pub-139409,bar,false
afisha-msk-tilda-food-bar-375104,bar,true
afisha-msk-vinnyi-bazar-na-nikitskom-259757,bar,false
afisha-msk-klevo-348804,restaurant,true
afisha-msk-konor-mak-nessa-32750,restaurant,false
afisha-msk-taras-bulba-30679,restaurant,true
afisha-msk-odzhakhuri-151381,restaurant,true
afisha-msk-starik-i-more-458978,restaurant,true
afisha-msk-elardzhi-28501,restaurant,true
afisha-msk-jpan-442775,restaurant,true
afisha-msk-wine-crab-311202,restaurant,true
afisha-msk-voronezh-77311,restaurant,true
afisha-msk-vse-tvoi-druzia-47491,bar,false
afisha-msk-rybnyi-bazar-18519,restaurant,true
afisha-msk-khon-gil-don-59461,bar,true
afisha-msk-erwin-rekamoreokean-196603,restaurant,true
afisha-msk-margarita-bistro-385863,restaurant,true
afisha-msk-megumi-30220,restaurant,true
afisha-msk-parisienne-20486,restaurant,true
afisha-msk-rule-taproom-76419,bar,false
afisha-msk-sempre-351911,restaurant,true
afisha-msk-13deg-175835,bar,false
afisha-msk-jacky-jacky-gastrobar-75320,bar,true
afisha-msk-modus-24757,restaurant,true
afisha-msk-pinch-59196,restaurant,true
afisha-msk-torro-grill-27907,restaurant,true
afisha-msk-babel-46969,restaurant,true
afisha-msk-est-khinkali-pit-vino-174398,restaurant,true
afisha-msk-neon-monkey-421955,bar,true
afisha-msk-ramen-483107,restaurant,true
afisha-msk-the-bix-bar-and-legend-442596,bar,true
afisha-msk-villa-della-pasta-44353,restaurant,true
afisha-msk-mari-vanna-24856,restaurant,true
afisha-msk-sosna-i-lipa-60505,bar,false
afisha-msk-sup-kafe-23276,restaurant,true
afisha-msk-iu-me-20581,restaurant,true
